,TEMP,month,year
4,40.43,02,1958
16,33.57,02,1959
28,32.85,02,1960
40,38.71,02,1961
52,33.54,02,1962
64,41.76,02,1963
76,33.11,02,1964
88,36.75,02,1965
100,32.83,02,1966
112,37.03,02,1967
124,39.43,02,1968
136,30.8,02,1969
148,38.33,02,1970
160,35.54,02,1971
172,34.56,02,1972
184,36.36,02,1973
196,34.96,02,1974
208,32.32,02,1975
220,33.88,02,1976
232,37.6,02,1977
244,37.08,02,1978
256,33.08,02,1979
268,37.19,02,1980
280,35.41,02,1981
292,32.31,02,1982
304,37.56,02,1983
316,34.02,02,1984
328,30.02,02,1985
340,36.99,02,1986
352,35.92,02,1987
364,37.2,02,1988
376,25.57,02,1989
388,32.05,02,1990
400,41.37,02,1991
412,40.61,02,1992
424,29.25,02,1993
436,32.51,02,1994
448,40.96,02,1995
460,34.14,02,1996
472,35.0,02,1997
484,35.71,02,1998
496,32.99,02,1999
508,37.02,02,2000
520,32.74,02,2001
532,35.15,02,2002
544,35.17,02,2003
556,34.36,02,2004
568,36.22,02,2005
580,33.2,02,2006
592,36.23,02,2007
604,35.06,02,2008
616,34.5,02,2009
628,37.05,02,2010
640,32.12,02,2011
652,34.5,02,2012
664,34.64,02,2013
676,34.68,02,2014
688,41.54,02,2015
700,39.45,02,2016
712,34.47,02,2017
724,32.91,02,2018
