,TEMP,month,year
3,33.76,01,1958
15,34.81,01,1959
27,27.25,01,1960
39,34.83,01,1961
51,27.88,01,1962
63,27.9,01,1963
75,31.63,01,1964
87,32.69,01,1965
99,32.21,01,1966
111,35.08,01,1967
123,31.65,01,1968
135,27.72,01,1969
147,33.55,01,1970
159,32.93,01,1971
171,29.48,01,1972
183,29.46,01,1973
195,28.16,01,1974
207,31.74,01,1975
219,33.49,01,1976
231,27.63,01,1977
243,34.59,01,1978
255,22.03,01,1979
267,30.02,01,1980
279,35.74,01,1981
291,28.71,01,1982
303,35.36,01,1983
315,30.67,01,1984
327,27.66,01,1985
339,35.33,01,1986
351,29.65,01,1987
363,29.81,01,1988
375,30.33,01,1989
387,34.02,01,1990
399,31.18,01,1991
411,34.35,01,1992
423,25.75,01,1993
435,36.28,01,1994
447,34.1,01,1995
459,33.46,01,1996
471,32.31,01,1997
483,35.43,01,1998
495,34.58,01,1999
507,32.23,01,2000
519,31.84,01,2001
531,31.86,01,2002
543,38.67,01,2003
555,31.71,01,2004
567,33.36,01,2005
579,34.92,01,2006
591,29.73,01,2007
603,27.87,01,2008
615,33.72,01,2009
627,36.7,01,2010
639,33.2,01,2011
651,33.81,01,2012
663,28.66,01,2013
675,36.35,01,2014
687,37.12,01,2015
699,32.61,01,2016
711,25.79,01,2017
723,37.17,01,2018
