,TEMP,month,year
8,59.47,06,1958
20,58.71,06,1959
32,59.51,06,1960
44,62.84,06,1961
56,56.84,06,1962
68,55.97,06,1963
80,55.51,06,1964
92,56.55,06,1965
104,56.14,06,1966
116,58.47,06,1967
128,58.49,06,1968
140,59.54,06,1969
152,60.91,06,1970
164,54.48,06,1971
176,59.02,06,1972
188,58.63,06,1973
200,61.07,06,1974
212,56.09,06,1975
224,54.44,06,1976
236,61.66,06,1977
248,58.21,06,1978
260,58.66,06,1979
272,53.96,06,1980
284,56.43,06,1981
296,58.54,06,1982
308,55.41,06,1983
320,54.46,06,1984
332,59.17,06,1985
344,62.39,06,1986
356,60.84,06,1987
368,58.01,06,1988
380,59.34,06,1989
392,57.12,06,1990
404,53.38,06,1991
416,61.93,06,1992
428,55.08,06,1993
440,57.05,06,1994
452,55.91,06,1995
464,57.2,06,1996
476,56.52,06,1997
488,56.16,06,1998
500,55.87,06,1999
512,59.37,06,2000
524,56.15,06,2001
536,59.66,06,2002
548,60.8,06,2003
560,59.08,06,2004
572,54.49,06,2005
584,60.65,06,2006
596,58.7,06,2007
608,56.05,06,2008
620,58.32,06,2009
632,55.44,06,2010
644,54.56,06,2011
656,55.41,06,2012
668,58.82,06,2013
680,57.71,06,2014
692,65.24,06,2015
704,60.22,06,2016
716,59.49,06,2017
728,57.94,06,2018
