,TEMP,month,year
11,57.58,09,1958
23,55.26,09,1959
35,59.39,09,1960
47,54.17,09,1961
59,59.69,09,1962
71,62.17,09,1963
83,55.34,09,1964
95,54.09,09,1965
107,60.02,09,1966
119,62.85,09,1967
131,58.15,09,1968
143,58.95,09,1969
155,53.91,09,1970
167,54.25,09,1971
179,54.35,09,1972
191,57.98,09,1973
203,61.33,09,1974
215,59.75,09,1975
227,59.86,09,1976
239,56.14,09,1977
251,55.15,09,1978
263,61.29,09,1979
275,58.47,09,1980
287,58.68,09,1981
299,55.72,09,1982
311,55.88,09,1983
323,55.97,09,1984
335,52.43,09,1985
347,52.59,09,1986
359,60.5,09,1987
371,58.17,09,1988
383,58.2,09,1989
395,62.18,09,1990
407,61.39,09,1991
419,57.38,09,1992
431,58.92,09,1993
443,61.31,09,1994
455,60.86,09,1995
467,55.85,09,1996
479,59.22,09,1997
491,62.04,09,1998
503,58.17,09,1999
515,56.82,09,2000
527,60.71,09,2001
539,59.09,09,2002
551,61.11,09,2003
563,56.57,09,2004
575,56.23,09,2005
587,59.0,09,2006
599,57.16,09,2007
611,58.89,09,2008
623,61.93,09,2009
635,58.23,09,2010
647,62.72,09,2011
659,61.71,09,2012
671,58.85,09,2013
683,60.92,09,2014
695,58.1,09,2015
707,57.17,09,2016
719,60.11,09,2017
731,57.46,09,2018
