,TEMP,month,year
10,67.81,08,1958
22,62.79,08,1959
34,61.84,08,1960
46,68.36,08,1961
58,62.19,08,1962
70,63.5,08,1963
82,61.82,08,1964
94,63.41,08,1965
106,64.69,08,1966
118,69.1,08,1967
130,61.4,08,1968
142,63.22,08,1969
154,65.26,08,1970
166,68.44,08,1971
178,66.14,08,1972
190,63.93,08,1973
202,64.79,08,1974
214,61.12,08,1975
226,60.66,08,1976
238,67.98,08,1977
250,63.28,08,1978
262,63.92,08,1979
274,61.6,08,1980
286,66.93,08,1981
298,64.71,08,1982
310,65.23,08,1983
322,65.39,08,1984
334,62.3,08,1985
346,68.39,08,1986
358,63.92,08,1987
370,64.5,08,1988
382,61.55,08,1989
394,65.33,08,1990
406,66.42,08,1991
418,66.67,08,1992
430,61.62,08,1993
442,65.37,08,1994
454,61.75,08,1995
466,65.95,08,1996
478,66.06,08,1997
490,67.07,08,1998
502,65.29,08,1999
514,65.6,08,2000
526,67.15,08,2001
538,63.03,08,2002
550,66.61,08,2003
562,66.65,08,2004
574,67.2,08,2005
586,64.25,08,2006
598,64.95,08,2007
610,65.66,08,2008
622,65.48,08,2009
634,63.86,08,2010
646,66.62,08,2011
658,67.75,08,2012
670,66.57,08,2013
682,66.99,08,2014
694,67.43,08,2015
706,66.6,08,2016
718,69.71,08,2017
730,66.76,08,2018
