,TEMP,month,year
2,35.95,12,1957
14,38.55,12,1958
26,32.36,12,1959
38,32.52,12,1960
50,32.11,12,1961
62,36.06,12,1962
74,33.24,12,1963
86,32.56,12,1964
98,31.21,12,1965
110,34.91,12,1966
122,30.16,12,1967
134,30.93,12,1968
146,34.79,12,1969
158,30.21,12,1970
170,29.78,12,1971
182,26.61,12,1972
194,36.55,12,1973
206,33.76,12,1974
218,35.25,12,1975
230,33.4,12,1976
242,35.87,12,1977
254,27.69,12,1978
266,35.77,12,1979
278,36.22,12,1980
290,35.05,12,1981
302,31.51,12,1982
314,27.15,12,1983
326,27.58,12,1984
338,26.48,12,1985
350,32.57,12,1986
362,30.64,12,1987
374,31.75,12,1988
386,34.59,12,1989
398,23.85,12,1990
410,33.79,12,1991
422,28.72,12,1992
434,33.12,12,1993
446,31.51,12,1994
458,34.13,12,1995
470,33.63,12,1996
482,31.77,12,1997
494,29.99,12,1998
506,34.31,12,1999
518,33.18,12,2000
530,31.47,12,2001
542,35.34,12,2002
554,34.12,12,2003
566,35.35,12,2004
578,31.25,12,2005
590,32.41,12,2006
602,30.21,12,2007
614,29.97,12,2008
626,28.09,12,2009
638,33.59,12,2010
650,32.54,12,2011
662,32.1,12,2012
674,29.15,12,2013
686,35.91,12,2014
698,32.31,12,2015
710,26.97,12,2016
722,31.89,12,2017
734,32.19,12,2018
