,TEMP,month,year
9,66.61,07,1958
21,66.35,07,1959
33,68.18,07,1960
45,66.47,07,1961
57,63.25,07,1962
69,60.82,07,1963
81,64.54,07,1964
93,64.34,07,1965
105,62.65,07,1966
117,66.85,07,1967
129,66.57,07,1968
141,63.65,07,1969
153,66.08,07,1970
165,65.24,07,1971
177,65.67,07,1972
189,65.83,07,1973
201,63.93,07,1974
213,66.6,07,1975
225,64.73,07,1976
237,63.84,07,1977
249,64.8,07,1978
261,65.57,07,1979
273,65.09,07,1980
285,63.06,07,1981
297,62.8,07,1982
309,60.59,07,1983
321,65.73,07,1984
333,69.17,07,1985
345,60.99,07,1986
357,61.96,07,1987
369,66.15,07,1988
381,63.75,07,1989
393,67.11,07,1990
405,65.69,07,1991
417,63.55,07,1992
429,57.33,07,1993
441,67.75,07,1994
453,64.22,07,1995
465,67.98,07,1996
477,63.32,07,1997
489,68.63,07,1998
501,63.2,07,1999
513,64.2,07,2000
525,64.3,07,2001
537,68.34,07,2002
549,69.66,07,2003
561,67.45,07,2004
573,67.14,07,2005
585,69.51,07,2006
597,69.58,07,2007
609,66.39,07,2008
621,67.74,07,2009
633,65.07,07,2010
645,62.39,07,2011
657,66.25,07,2012
669,69.43,07,2013
681,69.67,07,2014
693,67.45,07,2015
705,64.42,07,2016
717,68.93,07,2017
729,68.57,07,2018
