,TEMP,month,year
5,35.86,03,1958
17,38.67,03,1959
29,39.51,03,1960
41,38.63,03,1961
53,35.55,03,1962
65,38.4,03,1963
77,35.29,03,1964
89,37.72,03,1965
101,38.23,03,1966
113,36.71,03,1967
125,41.6,03,1968
137,37.27,03,1969
149,38.22,03,1970
161,34.57,03,1971
173,41.82,03,1972
185,37.93,03,1973
197,38.39,03,1974
209,35.79,03,1975
221,35.18,03,1976
233,36.28,03,1977
245,43.4,03,1978
257,40.88,03,1979
269,37.66,03,1980
281,40.06,03,1981
293,37.52,03,1982
305,40.7,03,1983
317,40.37,03,1984
329,35.36,03,1985
341,43.89,03,1986
353,39.69,03,1987
365,39.24,03,1988
377,38.41,03,1989
389,40.67,03,1990
401,36.57,03,1991
413,44.19,03,1992
425,40.46,03,1993
437,42.06,03,1994
449,38.48,03,1995
461,40.06,03,1996
473,40.36,03,1997
485,39.66,03,1998
497,37.53,03,1999
509,38.18,03,2000
521,40.83,03,2001
533,36.35,03,2002
545,40.71,03,2003
557,44.0,03,2004
569,42.14,03,2005
581,35.91,03,2006
593,42.87,03,2007
605,36.45,03,2008
617,36.11,03,2009
629,39.34,03,2010
641,37.37,03,2011
653,37.75,03,2012
665,40.34,03,2013
677,41.34,03,2014
689,44.97,03,2015
701,40.57,03,2016
713,41.06,03,2017
725,37.71,03,2018
