,TEMP,month,year
1,36.34,11,1957
13,39.45,11,1958
25,38.59,11,1959
37,37.78,11,1960
49,35.57,11,1961
61,40.79,11,1962
73,39.62,11,1963
85,36.21,11,1964
97,41.28,11,1965
109,40.57,11,1966
121,40.7,11,1967
133,38.68,11,1968
145,40.16,11,1969
157,39.34,11,1970
169,37.6,11,1971
181,38.28,11,1972
193,36.73,11,1973
205,39.79,11,1974
217,36.58,11,1975
229,42.1,11,1976
241,37.34,11,1977
253,33.66,11,1978
265,35.75,11,1979
277,40.07,11,1980
289,40.29,11,1981
301,34.38,11,1982
313,39.12,11,1983
325,36.57,11,1984
337,28.76,11,1985
349,39.44,11,1986
361,39.47,11,1987
373,38.04,11,1988
385,39.94,11,1989
397,38.82,11,1990
409,38.92,11,1991
421,36.64,11,1992
433,33.56,11,1993
445,31.52,11,1994
457,42.95,11,1995
469,39.45,11,1996
481,40.86,11,1997
493,38.56,11,1998
505,43.18,11,1999
517,33.72,11,2000
529,40.19,11,2001
541,39.92,11,2002
553,34.48,11,2003
565,38.21,11,2004
577,37.66,11,2005
589,38.21,11,2006
601,39.32,11,2007
613,42.33,11,2008
625,38.05,11,2009
637,36.75,11,2010
649,36.46,11,2011
661,40.6,11,2012
673,39.13,11,2013
685,38.31,11,2014
697,36.09,11,2015
709,43.31,11,2016
721,39.43,11,2017
733,39.15,11,2018
