,TEMP,month,year
0,46.28,10,1957
12,51.42,10,1958
24,49.24,10,1959
36,49.17,10,1960
48,47.35,10,1961
60,48.58,10,1962
72,50.84,10,1963
84,50.63,10,1964
96,52.27,10,1965
108,48.67,10,1966
120,48.78,10,1967
132,47.57,10,1968
144,44.46,10,1969
156,46.21,10,1970
168,45.18,10,1971
180,47.69,10,1972
192,47.75,10,1973
204,49.05,10,1974
216,47.55,10,1975
228,49.37,10,1976
240,48.84,10,1977
252,50.87,10,1978
264,51.87,10,1979
276,49.61,10,1980
288,46.12,10,1981
300,47.0,10,1982
312,49.09,10,1983
324,44.11,10,1984
336,46.16,10,1985
348,49.75,10,1986
360,53.51,10,1987
372,55.66,10,1988
384,47.46,10,1989
396,46.92,10,1990
408,50.37,10,1991
420,50.95,10,1992
432,51.04,10,1993
444,46.84,10,1994
456,47.07,10,1995
468,47.93,10,1996
480,47.21,10,1997
492,47.08,10,1998
504,50.44,10,1999
516,47.73,10,2000
528,49.18,10,2001
540,46.61,10,2002
552,52.58,10,2003
564,48.72,10,2004
576,48.96,10,2005
588,48.05,10,2006
600,46.11,10,2007
612,48.95,10,2008
624,44.83,10,2009
636,50.41,10,2010
648,49.01,10,2011
660,48.86,10,2012
672,46.01,10,2013
684,52.69,10,2014
696,54.22,10,2015
708,48.23,10,2016
720,46.75,10,2017
732,48.64,10,2018
