Year,Month,TEMP_C,Water_Temp_C
2007,1,29.73,3.57
2007,2,36.23,3.24
2007,3,42.87,5.91
2007,4,44.24,8.94
2007,5,52.59,13.01
2007,6,58.7,16.38
2007,7,69.58,20.42
2007,8,64.95,21.17
2007,9,57.16,20.02
2007,10,46.11,15.39
2007,11,39.32,11.24
2007,12,30.21,6.73
2008,1,27.87,3.89
2008,2,35.06,3.21
2008,3,36.45,5.88
2008,4,39.91,8.1
2008,5,51.02,12.1
2008,6,56.05,14.5
2008,7,66.39,19.04
2008,8,65.66,20.97
2008,9,58.89,19.53
2008,10,48.95,15.91
2008,11,42.33,11.72
2008,12,29.97,6.44
2009,1,33.72,3.66
2009,2,34.5,2.89
2009,3,36.11,4.86
2009,4,42.87,8.44
2009,5,52.55,12.14
2009,6,58.32,16.44
2009,7,67.74,20.21
2009,8,65.48,21.79
2009,9,61.93,20.46
2009,10,44.83,15.24
2009,11,38.05,10.8
2009,12,28.09,5.61
2010,1,36.7,4.31
2010,2,37.05,5.28
2010,3,39.34,6.87
2010,4,41.53,9.64
2010,5,45.96,12.48
2010,6,55.44,15.04
2010,7,65.07,18.94
2010,8,63.86,21.46
2010,9,58.23,19.22
2010,10,50.41,16.79
2010,11,36.75,11.72
2010,12,33.59,6.37
2011,1,33.2,4.48
2011,2,32.12,3.99
2011,3,37.37,4.8
2011,4,39.49,8.27
2011,5,45.98,11.5
2011,6,54.56,14.19
2011,7,62.39,17.46
2011,8,66.62,20.49
2011,9,62.72,20.27
2011,10,49.01,16.58
2011,11,36.46,10.94
2011,12,32.54,6.43
2012,1,33.81,4.12
2012,2,34.5,3.66
2012,3,37.75,5.54
2012,4,45.58,8.58
2012,5,50.26,12.29
2012,6,55.41,14.82
2012,7,66.25,18.05
2012,8,67.75,20.76
2012,9,61.71,19.48
2012,10,48.86,16.29
2012,11,40.6,11.93
2012,12,32.1,7.88
2013,1,28.66,4.17
2013,3,40.34,6.14
2013,4,44.62,9.43
2013,5,52.1,13.15
2013,6,58.82,16.47
2013,7,69.43,20.17
2013,8,66.57,22.02
2013,9,58.85,21.29
2013,10,46.01,15.51
2013,11,39.13,11.14
2013,12,29.15,5.25
2014,1,36.35,4.37
2014,2,34.68,3.06
2014,4,44.9,9.1
2014,5,53.08,12.98
2014,6,57.71,16.15
2014,7,69.67,20.05
2014,8,66.99,22.06
2014,9,60.92,20.27
2014,10,52.69,17.74
2014,11,38.31,11.46
2014,12,35.91,7.4
2015,1,37.12,4.8
2015,2,41.54,5.17
2015,3,44.97,7.12
2015,4,44.0,10.16
2015,5,53.02,14.5
2015,6,65.24,19.34
2015,7,67.45,22.41
2015,8,67.43,21.78
2015,9,58.1,19.49
2015,10,54.22,17.42
2015,11,36.09,12.27
2015,12,32.31,7.0
2016,1,32.61,4.48
2016,2,39.45,5.3
2016,3,40.57,6.99
2016,4,49.76,10.95
2016,5,52.7,14.39
2016,6,60.22,17.67
2016,7,64.42,20.39
2016,8,66.6,21.85
2016,9,57.17,19.67
2016,10,48.23,16.15
2016,11,43.31,12.78
2016,12,26.97,6.62
2017,1,25.79,2.26
2017,3,41.06,5.48
2017,6,59.49,15.81
2017,7,68.93,20.63
2017,8,69.71,22.4
2017,10,46.75,15.53
2017,11,39.43,10.89
2017,12,31.89,7.02
2018,1,37.17,4.75
2018,2,32.91,4.76
2018,3,37.71,5.55
2018,4,44.82,8.9
2018,5,55.16,13.27
2018,6,57.94,16.65
2018,7,68.57,20.51
2018,8,66.76,22.01
2018,9,57.46,19.36
2018,10,48.64,16.06
2018,11,39.15,11.49
2018,12,32.19,7.47
