YEAR,TEMP
1895-01,29.11
1895-02,34.69
1895-03,37.26
1895-04,45.73
1895-05,50.32
1895-06,57.13
1895-07,62.91
1895-08,63.16
1895-09,52.55
1895-10,50.32
1895-11,36.47
1895-12,31.96
1896-01,34.29
1896-02,37.46
1896-03,37.48
1896-04,39.71
1896-05,45.84
1896-06,57.97
1896-07,67.85
1896-08,63.69
1896-09,55.11
1896-10,48.86
1896-11,32.10
1896-12,37.18
1897-01,31.26
1897-02,33.44
1897-03,32.07
1897-04,46.78
1897-05,55.83
1897-06,56.28
1897-07,61.28
1897-08,67.15
1897-09,55.09
1897-10,47.53
1897-11,37.73
1897-12,33.41
1898-01,27.75
1898-02,37.60
1898-03,35.32
1898-04,46.30
1898-05,49.46
1898-06,57.63
1898-07,64.68
1898-08,66.95
1898-09,57.70
1898-10,45.63
1898-11,35.71
1898-12,28.54
1899-01,33.98
1899-02,30.43
1899-03,36.38
1899-04,42.41
1899-05,45.72
1899-06,55.04
1899-07,64.30
1899-08,58.30
1899-09,59.22
1899-10,44.71
1899-11,43.66
1899-12,33.06
1900-01,36.43
1900-02,34.29
1900-03,44.31
1900-04,44.84
1900-05,51.75
1900-06,60.14
1900-07,63.95
1900-08,59.98
1900-09,54.46
1900-10,46.04
1900-11,38.51
1900-12,36.83
1901-01,31.06
1901-02,33.69
1901-03,39.07
1901-04,42.18
1901-05,52.64
1901-06,53.95
1901-07,63.07
1901-08,67.55
1901-09,54.20
1901-10,53.27
1901-11,41.23
1901-12,34.26
1902-01,30.28
1902-02,37.40
1902-03,36.74
1902-04,43.08
1902-05,50.24
1902-06,56.58
1902-07,61.71
1902-08,63.84
1902-09,57.41
1902-10,49.46
1902-11,37.55
1902-12,32.32
1903-01,32.68
1903-02,28.13
1903-03,37.45
1903-04,41.93
1903-05,50.33
1903-06,60.21
1903-07,60.80
1903-08,62.69
1903-09,55.34
1903-10,49.68
1903-11,39.31
1903-12,32.91
1904-01,32.59
1904-02,33.25
1904-03,35.89
1904-04,46.47
1904-05,51.72
1904-06,57.40
1904-07,63.35
1904-08,65.55
1904-09,59.01
1904-10,50.02
1904-11,43.12
1904-12,33.49
1905-01,32.31
1905-02,32.32
1905-03,42.61
1905-04,46.54
1905-05,48.53
1905-06,56.10
1905-07,67.07
1905-08,64.53
1905-09,57.94
1905-10,44.76
1905-11,37.22
1905-12,31.21
1906-01,32.56
1906-02,35.00
1906-03,35.41
1906-04,47.28
1906-05,50.05
1906-06,54.53
1906-07,70.27
1906-08,65.35
1906-09,57.85
1906-10,49.68
1906-11,38.40
1906-12,36.52
1907-01,26.94
1907-02,39.33
1907-03,37.57
1907-04,45.16
1907-05,52.06
1907-06,55.44
1907-07,64.50
1907-08,60.73
1907-09,56.56
1907-10,53.31
1907-11,40.26
1907-12,35.09
1908-01,33.45
1908-02,34.60
1908-03,38.41
1908-04,46.14
1908-05,46.16
1908-06,55.01
1908-07,67.46
1908-08,63.47
1908-09,56.89
1908-10,46.44
1908-11,40.76
1908-12,30.67
1909-01,30.22
1909-02,35.72
1909-03,39.57
1909-04,42.75
1909-05,48.15
1909-06,57.83
1909-07,61.29
1909-08,62.93
1909-09,57.68
1909-10,48.50
1909-11,39.24
1909-12,26.36
1910-01,27.26
1910-02,30.47
1910-03,44.53
1910-04,48.94
1910-05,54.00
1910-06,56.07
1910-07,66.13
1910-08,61.14
1910-09,54.77
1910-10,49.73
1910-11,38.42
1910-12,34.70
1911-01,30.55
1911-02,28.18
1911-03,40.97
1911-04,42.67
1911-05,47.18
1911-06,56.79
1911-07,66.26
1911-08,62.27
1911-09,53.26
1911-10,46.39
1911-11,37.39
1911-12,31.75
1912-01,32.16
1912-02,36.28
1912-03,36.22
1912-04,42.73
1912-05,50.52
1912-06,58.07
1912-07,62.15
1912-08,60.70
1912-09,54.17
1912-10,43.90
1912-11,39.86
1912-12,31.90
1913-01,27.62
1913-02,29.89
1913-03,35.60
1913-04,44.03
1913-05,51.41
1913-06,56.91
1913-07,63.22
1913-08,64.78
1913-09,56.97
1913-10,46.38
1913-11,39.90
1913-12,30.71
1914-01,35.30
1914-02,34.21
1914-03,42.85
1914-04,45.86
1914-05,53.74
1914-06,55.65
1914-07,65.99
1914-08,64.81
1914-09,54.56
1914-10,49.56
1914-11,40.10
1914-12,25.86
1915-01,29.53
1915-02,36.53
1915-03,42.86
1915-04,48.02
1915-05,49.08
1915-06,55.81
1915-07,62.66
1915-08,68.18
1915-09,55.19
1915-10,49.19
1915-11,37.43
1915-12,32.96
1916-01,22.31
1916-02,35.97
1916-03,40.40
1916-04,45.34
1916-05,46.62
1916-06,54.97
1916-07,60.47
1916-08,62.80
1916-09,56.90
1916-10,45.51
1916-11,34.02
1916-12,28.92
1917-01,26.66
1917-02,30.83
1917-03,31.18
1917-04,41.04
1917-05,47.69
1917-06,55.59
1917-07,67.51
1917-08,65.88
1917-09,58.90
1917-10,50.49
1917-11,42.30
1917-12,40.51
1918-01,36.28
1918-02,33.59
1918-03,40.33
1918-04,44.08
1918-05,48.25
1918-06,63.54
1918-07,64.52
1918-08,61.45
1918-09,60.44
1918-10,50.31
1918-11,37.31
1918-12,31.01
1919-01,32.43
1919-02,33.00
1919-03,38.29
1919-04,45.78
1919-05,51.34
1919-06,56.21
1919-07,66.46
1919-08,65.82
1919-09,56.42
1919-10,43.15
1919-11,36.38
1919-12,26.09
1920-01,32.32
1920-02,34.11
1920-03,36.99
1920-04,40.77
1920-05,48.23
1920-06,55.81
1920-07,64.91
1920-08,64.80
1920-09,56.29
1920-10,45.37
1920-11,37.22
1920-12,33.57
1921-01,31.98
1921-02,34.97
1921-03,40.58
1921-04,42.34
1921-05,49.99
1921-06,58.96
1921-07,63.54
1921-08,64.05
1921-09,53.41
1921-10,50.41
1921-11,40.78
1921-12,31.17
1922-01,23.39
1922-02,29.19
1922-03,34.34
1922-04,40.08
1922-05,50.10
1922-06,61.25
1922-07,66.45
1922-08,63.87
1922-09,59.15
1922-10,49.41
1922-11,34.87
1922-12,29.47
1923-01,33.15
1923-02,29.88
1923-03,37.96
1923-04,44.25
1923-05,50.60
1923-06,55.04
1923-07,65.06
1923-08,64.93
1923-09,59.15
1923-10,47.07
1923-11,41.00
1923-12,31.74
1924-01,28.57
1924-02,39.82
1924-03,36.51
1924-04,45.01
1924-05,55.63
1924-06,58.67
1924-07,64.60
1924-08,62.89
1924-09,57.52
1924-10,47.26
1924-11,37.20
1924-12,24.70
1925-01,34.41
1925-02,38.10
1925-03,39.98
1925-04,46.69
1925-05,53.66
1925-06,58.27
1925-07,67.93
1925-08,62.80
1925-09,56.13
1925-10,47.55
1925-11,38.37
1925-12,35.71
1926-01,32.11
1926-02,39.22
1926-03,43.40
1926-04,50.69
1926-05,51.70
1926-06,61.89
1926-07,67.09
1926-08,64.37
1926-09,52.84
1926-10,49.79
1926-11,42.27
1926-12,31.42
1927-01,31.02
1927-02,35.06
1927-03,37.66
1927-04,42.75
1927-05,47.95
1927-06,58.73
1927-07,65.12
1927-08,63.68
1927-09,54.44
1927-10,48.73
1927-11,41.49
1927-12,27.96
1928-01,32.03
1928-02,34.14
1928-03,41.42
1928-04,42.56
1928-05,55.79
1928-06,56.61
1928-07,66.36
1928-08,63.23
1928-09,57.68
1928-10,47.95
1928-11,38.51
1928-12,29.71
1929-01,25.26
1929-02,26.22
1929-03,39.20
1929-04,40.67
1929-05,50.87
1929-06,56.47
1929-07,65.22
1929-08,66.72
1929-09,55.08
1929-10,50.26
1929-11,38.02
1929-12,37.33
1930-01,18.91
1930-02,38.42
1930-03,40.99
1930-04,48.21
1930-05,48.65
1930-06,56.30
1930-07,64.97
1930-08,65.55
1930-09,56.90
1930-10,46.15
1930-11,37.46
1930-12,29.68
1931-01,33.62
1931-02,35.15
1931-03,39.89
1931-04,45.86
1931-05,55.07
1931-06,58.13
1931-07,67.58
1931-08,65.58
1931-09,56.03
1931-10,48.14
1931-11,34.60
1931-12,29.58
1932-01,28.54
1932-02,29.87
1932-03,39.31
1932-04,44.36
1932-05,50.30
1932-06,59.44
1932-07,62.67
1932-08,62.84
1932-09,59.25
1932-10,49.07
1932-11,41.91
1932-12,26.26
1933-01,29.31
1933-02,26.45
1933-03,37.44
1933-04,43.73
1933-05,45.94
1933-06,58.38
1933-07,66.20
1933-08,65.23
1933-09,54.59
1933-10,51.91
1933-11,40.62
1933-12,38.80
1934-01,38.42
1934-02,40.39
1934-03,47.00
1934-04,51.54
1934-05,55.50
1934-06,57.72
1934-07,65.19
1934-08,66.26
1934-09,57.17
1934-10,50.33
1934-11,42.01
1934-12,33.40
1935-01,30.59
1935-02,35.01
1935-03,35.02
1935-04,43.10
1935-05,50.24
1935-06,58.61
1935-07,64.12
1935-08,64.48
1935-09,60.97
1935-10,46.88
1935-11,34.17
1935-12,32.10
1936-01,32.52
1936-02,28.20
1936-03,37.43
1936-04,47.84
1936-05,54.59
1936-06,59.42
1936-07,66.03
1936-08,65.52
1936-09,57.04
1936-10,51.45
1936-11,36.33
1936-12,33.47
1937-01,16.72
1937-02,30.24
1937-03,39.44
1937-04,42.01
1937-05,52.28
1937-06,57.93
1937-07,66.34
1937-08,62.77
1937-09,58.87
1937-10,51.07
1937-11,41.39
1937-12,36.39
1938-01,33.61
1938-02,33.40
1938-03,36.68
1938-04,45.26
1938-05,51.09
1938-06,59.43
1938-07,67.17
1938-08,62.75
1938-09,61.60
1938-10,48.84
1938-11,34.92
1938-12,33.95
1939-01,33.58
1939-02,30.37
1939-03,40.19
1939-04,48.23
1939-05,53.53
1939-06,55.59
1939-07,66.47
1939-08,66.13
1939-09,59.12
1939-10,49.11
1939-11,41.41
1939-12,38.40
1940-01,33.22
1940-02,37.16
1940-03,42.49
1940-04,46.18
1940-05,54.67
1940-06,62.02
1940-07,65.15
1940-08,66.20
1940-09,58.33
1940-10,50.73
1940-11,35.80
1940-12,34.73
1941-01,34.10
1941-02,37.75
1941-03,42.80
1941-04,45.47
1941-05,51.79
1941-06,56.16
1941-07,67.29
1941-08,63.24
1941-09,53.55
1941-10,47.38
1941-11,41.50
1941-12,34.59
1942-01,27.51
1942-02,32.22
1942-03,37.74
1942-04,45.67
1942-05,48.43
1942-06,54.81
1942-07,66.49
1942-08,65.88
1942-09,59.02
1942-10,50.34
1942-11,38.15
1942-12,35.05
1943-01,28.03
1943-02,35.54
1943-03,37.96
1943-04,47.40
1943-05,48.41
1943-06,53.74
1943-07,64.48
1943-08,62.06
1943-09,61.76
1943-10,48.99
1943-11,39.82
1943-12,32.67
1944-01,29.67
1944-02,33.19
1944-03,37.30
1944-04,43.49
1944-05,51.07
1944-06,54.89
1944-07,63.91
1944-08,62.74
1944-09,59.45
1944-10,52.69
1944-11,36.37
1944-12,31.47
1945-01,33.34
1945-02,35.77
1945-03,36.32
1945-04,42.47
1945-05,51.40
1945-06,55.96
1945-07,66.21
1945-08,64.85
1945-09,56.27
1945-10,50.29
1945-11,37.32
1945-12,32.25
1946-01,31.41
1946-02,33.36
1946-03,38.80
1946-04,45.79
1946-05,52.04
1946-06,55.97
1946-07,64.83
1946-08,64.64
1946-09,55.84
1946-10,43.20
1946-11,36.36
1946-12,35.19
1947-01,28.64
1947-02,38.35
1947-03,42.33
1947-04,46.44
1947-05,55.84
1947-06,54.99
1947-07,63.56
1947-08,61.88
1947-09,58.47
1947-10,49.73
1947-11,37.70
1947-12,34.02
1948-01,33.09
1948-02,31.45
1948-03,35.29
1948-04,40.74
1948-05,48.91
1948-06,59.46
1948-07,61.98
1948-08,61.64
1948-09,56.06
1948-10,47.88
1948-11,36.28
1948-12,26.39
1949-01,17.52
1949-02,30.22
1949-03,38.27
1949-04,47.60
1949-05,53.77
1949-06,57.65
1949-07,63.55
1949-08,63.37
1949-09,59.33
1949-10,44.01
1949-11,44.05
1949-12,31.72
1950-01,22.94
1950-02,32.52
1950-03,36.09
1950-04,42.82
1950-05,49.02
1950-06,56.58
1950-07,65.33
1950-08,65.66
1950-09,58.69
1950-10,49.12
1950-11,40.62
1950-12,39.08
1951-01,30.10
1951-02,34.20
1951-03,34.63
1951-04,47.01
1951-05,51.14
1951-06,58.02
1951-07,65.58
1951-08,63.71
1951-09,59.44
1951-10,46.87
1951-11,37.34
1951-12,29.41
1952-01,26.77
1952-02,32.14
1952-03,34.37
1952-04,46.49
1952-05,51.62
1952-06,55.53
1952-07,65.42
1952-08,64.33
1952-09,60.81
1952-10,53.79
1952-11,34.45
1952-12,32.24
1953-01,38.86
1953-02,36.13
1953-03,38.17
1953-04,42.69
1953-05,46.67
1953-06,52.23
1953-07,64.44
1953-08,62.99
1953-09,60.87
1953-10,49.28
1953-11,42.46
1953-12,35.10
1954-01,32.37
1954-02,38.12
1954-03,35.77
1954-04,44.74
1954-05,52.55
1954-06,53.53
1954-07,63.63
1954-08,59.99
1954-09,56.09
1954-10,46.92
1954-11,43.00
1954-12,31.23
1955-01,28.58
1955-02,30.49
1955-03,33.49
1955-04,38.47
1955-05,48.11
1955-06,57.86
1955-07,61.05
1955-08,64.34
1955-09,57.33
1955-10,49.34
1955-11,34.75
1955-12,33.05
1956-01,32.28
1956-02,27.62
1956-03,37.10
1956-04,45.70
1956-05,52.69
1956-06,55.60
1956-07,65.77
1956-08,62.77
1956-09,58.48
1956-10,46.56
1956-11,36.68
1956-12,33.94
1957-01,22.38
1957-02,34.19
1957-03,39.00
1957-04,44.34
1957-05,52.27
1957-06,59.02
1957-07,62.71
1957-08,61.05
1957-09,60.51
1957-10,46.28
1957-11,36.34
1957-12,35.95
1958-01,33.76
1958-02,40.43
1958-03,35.86
1958-04,42.76
1958-05,56.59
1958-06,59.47
1958-07,66.61
1958-08,67.81
1958-09,57.58
1958-10,51.42
1958-11,39.45
1958-12,38.55
1959-01,34.81
1959-02,33.57
1959-03,38.67
1959-04,45.85
1959-05,47.52
1959-06,58.71
1959-07,66.35
1959-08,62.79
1959-09,55.26
1959-10,49.24
1959-11,38.59
1959-12,32.36
1960-01,27.25
1960-02,32.85
1960-03,39.51
1960-04,44.23
1960-05,47.93
1960-06,59.51
1960-07,68.18
1960-08,61.84
1960-09,59.39
1960-10,49.17
1960-11,37.78
1960-12,32.52
1961-01,34.83
1961-02,38.71
1961-03,38.63
1961-04,43.76
1961-05,49.67
1961-06,62.84
1961-07,66.47
1961-08,68.36
1961-09,54.17
1961-10,47.35
1961-11,35.57
1961-12,32.11
1962-01,27.88
1962-02,33.54
1962-03,35.55
1962-04,47.38
1962-05,47.25
1962-06,56.84
1962-07,63.25
1962-08,62.19
1962-09,59.69
1962-10,48.58
1962-11,40.79
1962-12,36.06
1963-01,27.90
1963-02,41.76
1963-03,38.40
1963-04,40.28
1963-05,51.94
1963-06,55.97
1963-07,60.82
1963-08,63.50
1963-09,62.17
1963-10,50.84
1963-11,39.62
1963-12,33.24
1964-01,31.63
1964-02,33.11
1964-03,35.29
1964-04,41.63
1964-05,47.96
1964-06,55.51
1964-07,64.54
1964-08,61.82
1964-09,55.34
1964-10,50.63
1964-11,36.21
1964-12,32.56
1965-01,32.69
1965-02,36.75
1965-03,37.72
1965-04,45.48
1965-05,48.50
1965-06,56.55
1965-07,64.34
1965-08,63.41
1965-09,54.09
1965-10,52.27
